img_id_A,img_id_B
0359a,0359b
0577a,0577b
0577a,0577c
1120a,1120b
1120a,1120c
1120b,1120c
1121a,1121b
1121a,1121c
1121b,1121c
1229b,1229c
1302a,1302b
1302a,1302c
1302b,1302c
1305a,1305b
1305a,1305c
1305b,1305c
1386a,1386b
1386a,1386c
1386b,1386c
1391c,1391b
1391c,1391a
1489a,1489b
1489a,1489c
1489b,1489c
1517a,1517b
1517a,1517c
1517b,1517c
0331b,0331a
0367a,0367b
0367a,0367c
0367b,0367c
0379b,0379c
0458a,0458c
0458a,0458b
0565a,0565b
0565a,0565c
0565b,0565c
1254c,1254a
1254c,1254b
1362a,1362b
1362a,1362c
1362b,1362c
1446a,1446b
1446a,1446c
1446b,1446c
1454b,1454c
1454b,1454a
1454c,1454a
1455a,1455b
1455a,1455c
1455b,1455c
1510b,1510c
1510b,1510a
1510c,1510a
1534b,1534c
1534b,1534a
1540b,1540c
1300a,1300b
1300a,1300c
1300b,1300c
1309a,1309b
1309a,1309c
1453a,1453b
1453a,1453c
1453b,1453c
1482b,1482a
1518c,1518a
1543a,1543b
1543a,1543c
0584a,0584b
0584a,0584c
0584b,0584c
1127a,1127b
1127a,1127c
1127b,1127c
1284a,1284b
1284a,1284c
1360b,1360a
1360b,1360c
1364b,1364c
1364b,1364a
1490c,1490b
1491a,1491b
1491a,1491c
1491b,1491c
0321c,0321a
0321c,0321b
0451a,0451b
0451a,0451c
0503a,0503b
0561a,0561b
0571b,0571a
0571b,0571c
0600a,0600b
0600a,0600c
0600b,0600c
1137a,1137b
1137a,1137c
1230a,1230c
1230a,1230b
1230c,1230b
1248a,1248b
1248a,1248c
1248b,1248c
1335a,1335b
1335a,1335c
1378b,1378c
1378b,1378a
1378c,1378a
1432c,1432a
1432c,1432b
1481a,1481b
1481a,1481c
1481b,1481c
1487a,1487c
1512b,1512c
1565a,1565b
1565a,1565c
0338b,0338a
0338b,0338c
0422a,0422b
0422a,0422c
0422b,0422c
0472b,0472a
0472b,0472c
1227a,1227b
1382c,1382b
1382c,1382a
1445a,1445b
1445a,1445c
1445b,1445c
1486a,1486b
1545a,1545b
1545a,1545c
1545b,1545c
1282b,1282c
1289a,1289b
1289a,1289c
1289b,1289c
1565b,1565c
0552a,0552b
0552a,0552c
0552b,0552c
1307a,1307b
1492a,1492b
1492a,1492c
1492b,1492c
0366a,0366b
0434b,0434c
0434b,0434a
0496f,0496c
0496f,0496d
0496f,0496a
0496f,0496e
1382b,1382a
1416b,1416a
1416b,1416c
0374b,0374c
0374b,0374a
0544b,0544a
0544b,0544c
0579a,0579c
1320a,1320b
1320a,1320c
1320b,1320c
1334a,1334c
1370a,1370b
1370a,1370c
1370b,1370c
1426b,1426c
1426b,1426a
1463a,1463b
1463a,1463c
1463b,1463c
1468a,1468b
1468a,1468c
1483a,1483b
1483a,1483c
1483b,1483c
1488a,1488c
1488a,1488b
1488c,1488b
1534c,1534a
0491b,0491c
0491b,0491a
1119a,1119b
1119a,1119c
1119b,1119c
1129c,1129a
1129c,1129b
1344a,1344b
1344a,1344c
1344b,1344c
1516a,1516b
0306a,0306b
1309b,1309c
1458a,1458b
1458a,1458c
1458b,1458c
0414a,0414b
0414a,0414c
0414b,0414c
0539a,0539b
0539a,0539c
0539b,0539c
0576c,0576b
1137b,1137c
1164c,1164a
1164c,1164b
1180a,1180b
1180a,1180c
1375b,1375c
1375b,1375a
1375c,1375a
0333b,0333c
0333b,0333a
0381a,0381b
0381a,0381c
0411c,0411b
0411c,0411a
1352b,1352c
1352b,1352a
1352c,1352a
1393a,1393b
1393a,1393c
1393b,1393c
1394a,1394c
1394a,1394b
0351c,0351a
0351c,0351b
0424a,0424c
0496c,0496d
0496c,0496a
0496c,0496e
0496d,0496a
0496d,0496e
1257b,1257c
1257b,1257a
1257c,1257a
1447a,1447b
1447a,1447c
0458c,0458b
1284b,1284c
0477a,0477b
1180b,1180c
1442a,1442b
1442a,1442c
1531b,1531c
1531b,1531a
0536a,0536b
0560c,0560a
0560c,0560b
1153a,1153b
1153a,1153c
1402a,1402b
1417c,1417b
1417c,1417a
1520a,1520c
1521a,1521c
1521a,1521b
1543b,1543c
0597c,0597b
0597c,0597a
0355c,0355a
0355c,0355b
0374c,0374a
0396c,0396b
0550a,0550b
0550a,0550c
1366a,1366b
1366a,1366c
1366b,1366c
1413a,1413b
1413a,1413c
1413b,1413c
0307a,0307b
0307a,0307c
0363c,0363b
0363c,0363a
1176b,1176a
1255a,1255b
1255a,1255c
1255b,1255c
1234a,1234b
1234a,1234c
1236a,1236c
1236a,1236b
1149a,1149b
1149a,1149c
1149b,1149c
1416a,1416c
0491c,0491a
1134a,1134b
1134a,1134c
1144b,1144c
1424a,1424b
1424a,1424c
1424b,1424c
1471b,1471c
0307b,0307c
0569c,0569a
0569c,0569b
0472a,0472c
1268a,1268b
1268a,1268c
1268b,1268c
1433a,1433b
1433a,1433c
1433b,1433c
1129a,1129b
1131a,1131b
1252a,1252b
1252a,1252c
1252b,1252c
1329a,1329b
1329a,1329c
1364c,1364a
1531c,1531a
1494a,1494b
1494a,1494c
1494b,1494c
1498a,1498b
0335a,0335b
0335a,0335c
0335b,0335c
0349a,0349b
0314b,0314c
0314b,0314a
1152b,1152a
1152b,1152c
1329b,1329c
1330a,1330b
1330a,1330c
1330b,1330c
1451a,1451c
1451a,1451b
1236c,1236b
0461a,0461b
1361b,1361a
0432a,0432c
0544a,0544c
0592b,0592c
0593a,0593b
0593a,0593c
1134b,1134c
1432a,1432b
0537a,0537b
0537a,0537c
1303c,1303a
1303c,1303b
0550b,0550c
1460a,1460b
1231a,1231b
1231a,1231c
1231b,1231c
0350b,0350c
0350b,0350a
1219a,1219b
1219a,1219c
0531a,0531b
0531a,0531c
0531b,0531c
1448a,1448b
1448a,1448c
1448b,1448c
1554a,1554b
1554a,1554c
1554b,1554c
0381b,0381c
0411b,0411a
0562a,0562c
0570c,0570a
0577b,0577c
1181a,1181b
1181a,1181c
1260a,1260b
1260a,1260c
1260b,1260c
1341a,1341b
